[2025-12-24 15:56:47,346: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 17:21:16,983: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 18:18:28,882: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-24 18:18:28,893: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 18:18:28,896: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-24 18:18:28,903: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-24 19:44:33,466: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 20:00:53,437: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 21:13:15,704: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 21:30:20,343: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 21:56:04,186: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 22:39:18,156: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 22:45:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-24 23:00:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 03:03:16,025: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 03:03:16,059: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 03:03:16,076: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 03:23:47,584: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 03:57:13,877: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 04:00:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 04:15:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 04:30:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 04:45:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 05:00:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 05:15:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 05:30:00,000: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 05:30:00,013: INFO/MainProcess] Scheduler: Sending due task fine-tune-bitcoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 06:27:28,534: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 06:27:28,547: INFO/MainProcess] Scheduler: Sending due task fine-tune-binancecoin-6h (celery_tasks.fine_tune_coin)
[2025-12-25 06:27:28,550: INFO/MainProcess] Scheduler: Sending due task fine-tune-ethereum-12h (celery_tasks.fine_tune_coin)
[2025-12-25 06:45:20,807: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
[2025-12-25 08:01:50,412: INFO/MainProcess] Scheduler: Sending due task verify-predictions-15m (celery_tasks.verify_prediction_accuracy)
